CATEGORY,FILE NAME
industrial,C/C24 Manufacture of basic metals/U147.csv
industrial,C/C24 Manufacture of basic metals/U153.csv
industrial,C/C24 Manufacture of basic metals/U152.csv
industrial,C/C24 Manufacture of basic metals/U146.csv
industrial,C/C24 Manufacture of basic metals/U150.csv
industrial,C/C24 Manufacture of basic metals/U144.csv
industrial,C/C24 Manufacture of basic metals/U145.csv
industrial,C/C24 Manufacture of basic metals/U151.csv
industrial,"C/C16 Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials/U53.csv"
industrial,"C/C16 Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials/U52.csv"
industrial,"C/C25 Manufacture of fabricated metal products, except machinery and equipment/U174.csv"
industrial,"C/C25 Manufacture of fabricated metal products, except machinery and equipment/U160.csv"
industrial,"C/C25 Manufacture of fabricated metal products, except machinery and equipment/U161.csv"
industrial,"C/C25 Manufacture of fabricated metal products, except machinery and equipment/U175.csv"
industrial,"C/C25 Manufacture of fabricated metal products, except machinery and equipment/U188.csv"
industrial,"C/C25 Manufacture of fabricated metal products, except machinery and equipment/U163.csv"
industrial,"C/C25 Manufacture of fabricated metal products, except machinery and equipment/U177.csv"
industrial,"C/C25 Manufacture of fabricated metal products, except machinery and equipment/U201.csv"
industrial,"C/C25 Manufacture of fabricated metal products, except machinery and equipment/U200.csv"
industrial,"C/C25 Manufacture of fabricated metal products, except machinery and equipment/U176.csv"
industrial,"C/C25 Manufacture of fabricated metal products, except machinery and equipment/U162.csv"
industrial,"C/C25 Manufacture of fabricated metal products, except machinery and equipment/U189.csv"
industrial,"C/C25 Manufacture of fabricated metal products, except machinery and equipment/U199.csv"
industrial,"C/C25 Manufacture of fabricated metal products, except machinery and equipment/U166.csv"
industrial,"C/C25 Manufacture of fabricated metal products, except machinery and equipment/U172.csv"
industrial,"C/C25 Manufacture of fabricated metal products, except machinery and equipment/U173.csv"
industrial,"C/C25 Manufacture of fabricated metal products, except machinery and equipment/U167.csv"
industrial,"C/C25 Manufacture of fabricated metal products, except machinery and equipment/U198.csv"
industrial,"C/C25 Manufacture of fabricated metal products, except machinery and equipment/U171.csv"
industrial,"C/C25 Manufacture of fabricated metal products, except machinery and equipment/U165.csv"
industrial,"C/C25 Manufacture of fabricated metal products, except machinery and equipment/U159.csv"
industrial,"C/C25 Manufacture of fabricated metal products, except machinery and equipment/U158.csv"
industrial,"C/C25 Manufacture of fabricated metal products, except machinery and equipment/U164.csv"
industrial,"C/C25 Manufacture of fabricated metal products, except machinery and equipment/U170.csv"
industrial,"C/C25 Manufacture of fabricated metal products, except machinery and equipment/U196.csv"
industrial,"C/C25 Manufacture of fabricated metal products, except machinery and equipment/U182.csv"
industrial,"C/C25 Manufacture of fabricated metal products, except machinery and equipment/U169.csv"
industrial,"C/C25 Manufacture of fabricated metal products, except machinery and equipment/U168.csv"
industrial,"C/C25 Manufacture of fabricated metal products, except machinery and equipment/U183.csv"
industrial,"C/C25 Manufacture of fabricated metal products, except machinery and equipment/U197.csv"
industrial,"C/C25 Manufacture of fabricated metal products, except machinery and equipment/U181.csv"
industrial,"C/C25 Manufacture of fabricated metal products, except machinery and equipment/U195.csv"
industrial,"C/C25 Manufacture of fabricated metal products, except machinery and equipment/U157.csv"
industrial,"C/C25 Manufacture of fabricated metal products, except machinery and equipment/U194.csv"
industrial,"C/C25 Manufacture of fabricated metal products, except machinery and equipment/U180.csv"
industrial,"C/C25 Manufacture of fabricated metal products, except machinery and equipment/U184.csv"
industrial,"C/C25 Manufacture of fabricated metal products, except machinery and equipment/U190.csv"
industrial,"C/C25 Manufacture of fabricated metal products, except machinery and equipment/U191.csv"
industrial,"C/C25 Manufacture of fabricated metal products, except machinery and equipment/U185.csv"
industrial,"C/C25 Manufacture of fabricated metal products, except machinery and equipment/U193.csv"
industrial,"C/C25 Manufacture of fabricated metal products, except machinery and equipment/U187.csv"
industrial,"C/C25 Manufacture of fabricated metal products, except machinery and equipment/U178.csv"
industrial,"C/C25 Manufacture of fabricated metal products, except machinery and equipment/U179.csv"
industrial,"C/C25 Manufacture of fabricated metal products, except machinery and equipment/U186.csv"
industrial,"C/C25 Manufacture of fabricated metal products, except machinery and equipment/U192.csv"
industrial,C/C18 Printing and reproduction of recorded media/U63.csv
industrial,C/C18 Printing and reproduction of recorded media/U62.csv
industrial,C/C18 Printing and reproduction of recorded media/U66.csv
industrial,C/C18 Printing and reproduction of recorded media/U65.csv
industrial,C/C18 Printing and reproduction of recorded media/U64.csv
industrial,C/C22 Manufacture of rubber and plastics products/U96.csv
industrial,C/C22 Manufacture of rubber and plastics products/U82.csv
industrial,C/C22 Manufacture of rubber and plastics products/U69.csv
industrial,C/C22 Manufacture of rubber and plastics products/U83.csv
industrial,C/C22 Manufacture of rubber and plastics products/U97.csv
industrial,C/C22 Manufacture of rubber and plastics products/U81.csv
industrial,C/C22 Manufacture of rubber and plastics products/U95.csv
industrial,C/C22 Manufacture of rubber and plastics products/U94.csv
industrial,C/C22 Manufacture of rubber and plastics products/U80.csv
industrial,C/C22 Manufacture of rubber and plastics products/U84.csv
industrial,C/C22 Manufacture of rubber and plastics products/U90.csv
industrial,C/C22 Manufacture of rubber and plastics products/U91.csv
industrial,C/C22 Manufacture of rubber and plastics products/U85.csv
industrial,C/C22 Manufacture of rubber and plastics products/U93.csv
industrial,C/C22 Manufacture of rubber and plastics products/U87.csv
industrial,C/C22 Manufacture of rubber and plastics products/U78.csv
industrial,C/C22 Manufacture of rubber and plastics products/U79.csv
industrial,C/C22 Manufacture of rubber and plastics products/U86.csv
industrial,C/C22 Manufacture of rubber and plastics products/U92.csv
industrial,C/C22 Manufacture of rubber and plastics products/U74.csv
industrial,C/C22 Manufacture of rubber and plastics products/U75.csv
industrial,C/C22 Manufacture of rubber and plastics products/U88.csv
industrial,C/C22 Manufacture of rubber and plastics products/U77.csv
industrial,C/C22 Manufacture of rubber and plastics products/U76.csv
industrial,C/C22 Manufacture of rubber and plastics products/U89.csv
industrial,C/C22 Manufacture of rubber and plastics products/U99.csv
industrial,C/C22 Manufacture of rubber and plastics products/U72.csv
industrial,C/C22 Manufacture of rubber and plastics products/U73.csv
industrial,C/C22 Manufacture of rubber and plastics products/U98.csv
industrial,C/C22 Manufacture of rubber and plastics products/U71.csv
industrial,C/C22 Manufacture of rubber and plastics products/U70.csv
industrial,C/C20 Manufacture of chemicals and chemical products/U67.csv
industrial,C/C32 Other manufacturing/U249.csv
industrial,C/C32 Other manufacturing/U254.csv
industrial,C/C32 Other manufacturing/U252.csv
industrial,C/C32 Other manufacturing/U253.csv
industrial,C/C32 Other manufacturing/U251.csv
industrial,C/C32 Other manufacturing/U250.csv
industrial,"D/D35 Electricity, gas, steam and air conditioning supply/U256.csv"
commercial,Q/Q86 Human health activities/U381.csv
commercial,Q/Q86 Human health activities/U382.csv
commercial,Q/Q87 Residential care activities/U383.csv
commercial,Q/Q87 Residential care activities/U384.csv
industrial,E/E37 Sewerage/U258.csv
industrial,E/E37 Sewerage/U259.csv
industrial,E/E37 Sewerage/U257.csv
commercial,K/K66 Activities auxiliary to financial service and insurance activities/U298.csv
commercial,"K/K64 Financial service activities, except insurance and pension funding/U289.csv"
commercial,"K/K64 Financial service activities, except insurance and pension funding/U288.csv"
commercial,"K/K64 Financial service activities, except insurance and pension funding/U283.csv"
commercial,"K/K64 Financial service activities, except insurance and pension funding/U297.csv"
commercial,"K/K64 Financial service activities, except insurance and pension funding/U296.csv"
commercial,"K/K64 Financial service activities, except insurance and pension funding/U282.csv"
commercial,"K/K64 Financial service activities, except insurance and pension funding/U294.csv"
commercial,"K/K64 Financial service activities, except insurance and pension funding/U281.csv"
commercial,"K/K64 Financial service activities, except insurance and pension funding/U295.csv"
commercial,"K/K64 Financial service activities, except insurance and pension funding/U291.csv"
commercial,"K/K64 Financial service activities, except insurance and pension funding/U285.csv"
commercial,"K/K64 Financial service activities, except insurance and pension funding/U284.csv"
commercial,"K/K64 Financial service activities, except insurance and pension funding/U290.csv"
commercial,"K/K64 Financial service activities, except insurance and pension funding/U286.csv"
commercial,"K/K64 Financial service activities, except insurance and pension funding/U292.csv"
commercial,"K/K64 Financial service activities, except insurance and pension funding/U293.csv"
commercial,"K/K64 Financial service activities, except insurance and pension funding/U287.csv"
commercial,L/L68 Real estate activities/U349.csv
commercial,L/L68 Real estate activities/U348.csv
commercial,L/L68 Real estate activities/U329.csv
commercial,L/L68 Real estate activities/U315.csv
commercial,L/L68 Real estate activities/U301.csv
commercial,L/L68 Real estate activities/U300.csv
commercial,L/L68 Real estate activities/U314.csv
commercial,L/L68 Real estate activities/U328.csv
commercial,L/L68 Real estate activities/U302.csv
commercial,L/L68 Real estate activities/U316.csv
commercial,L/L68 Real estate activities/U317.csv
